design,period_ns,slack_ns,top20_status,interpretation
P1,2.0,0.173345,NOT_IN_TOP20,P1_FAILURE_NOT_LOADUSE_PATH
P2R1,2.0,0.129794,NOT_IN_TOP20,LOADUSE_PATH_REMAINS_MET
